Date,Closing Price
10/05/2022,24.60
09/05/2022,24.20
06/05/2022,26.00
05/05/2022,24.65
04/05/2022,26.35
29/04/2022,28.30
28/04/2022,28.35
27/04/2022,28.90
26/04/2022,28.40
25/04/2022,28.10
22/04/2022,30.20
21/04/2022,30.10
20/04/2022,30.10
19/04/2022,30.30
18/04/2022,31.10
15/04/2022,33.20
14/04/2022,33.20
13/04/2022,33.10
12/04/2022,32.80
08/04/2022,32.85
07/04/2022,35.30
06/04/2022,35.95
05/04/2022,35.65
04/04/2022,35.65
01/04/2022,35.75
31/03/2022,35.00
30/03/2022,36.30
29/03/2022,37.55
28/03/2022,37.80
25/03/2022,37.85
24/03/2022,37.55
23/03/2022,37.95
22/03/2022,38.80
21/03/2022,38.20
18/03/2022,37.85
17/03/2022,36.65
16/03/2022,37.35
15/03/2022,37.20
14/03/2022,38.00
11/03/2022,39.65
10/03/2022,40.95
09/03/2022,41.45
08/03/2022,40.40
07/03/2022,42.45
04/03/2022,40.80
03/03/2022,42.10
02/03/2022,39.65
01/03/2022,39.00
28/02/2022,38.35
25/02/2022,35.85
24/02/2022,35.55
23/02/2022,36.55
22/02/2022,35.80
21/02/2022,36.75
18/02/2022,37.25
17/02/2022,36.60
16/02/2022,36.45
15/02/2022,35.95
14/02/2022,36.30
11/02/2022,37.10
10/02/2022,36.40
09/02/2022,36.45
08/02/2022,34.10
07/02/2022,31.90
28/01/2022,30.35
27/01/2022,30.30
26/01/2022,30.90
25/01/2022,30.80
24/01/2022,30.05
21/01/2022,32.30
20/01/2022,33.30
19/01/2022,32.75
18/01/2022,33.15
17/01/2022,33.00
14/01/2022,35.45
13/01/2022,36.10
12/01/2022,35.20
11/01/2022,34.60
10/01/2022,35.35
07/01/2022,35.35
06/01/2022,35.80
05/01/2022,37.00
04/01/2022,37.50
31/12/2021,37.40
30/12/2021,36.90
29/12/2021,36.90
28/12/2021,35.90
27/12/2021,35.25
24/12/2021,35.70
23/12/2021,35.10
22/12/2021,34.35
21/12/2021,34.85
20/12/2021,35.70
17/12/2021,36.10
16/12/2021,37.15
15/12/2021,37.50
14/12/2021,37.60
13/12/2021,35.15
10/12/2021,34.50
09/12/2021,35.45
08/12/2021,35.50
07/12/2021,36.10
06/12/2021,34.90
03/12/2021,37.50
02/12/2021,39.40
01/12/2021,39.30
30/11/2021,39.55
29/11/2021,38.90
26/11/2021,39.75
25/11/2021,39.00
24/11/2021,37.95
23/11/2021,39.10
22/11/2021,38.40
19/11/2021,37.50
18/11/2021,39.90
17/11/2021,42.50
16/11/2021,43.10
15/11/2021,43.70
12/11/2021,44.70
11/11/2021,43.50
10/11/2021,44.50
09/11/2021,45.65
08/11/2021,46.05
05/11/2021,46.45
04/11/2021,45.80
03/11/2021,44.95
02/11/2021,45.80
01/11/2021,46.00
29/10/2021,47.40
28/10/2021,48.00
27/10/2021,48.05
26/10/2021,47.65
25/10/2021,47.00
22/10/2021,49.00
21/10/2021,49.40
20/10/2021,49.20
19/10/2021,49.30
18/10/2021,49.85
15/10/2021,49.75
14/10/2021,48.45
13/10/2021,48.10
12/10/2021,48.35
11/10/2021,47.85
08/10/2021,47.65
07/10/2021,47.60
06/10/2021,48.35
05/10/2021,47.85
04/10/2021,48.65
01/10/2021,46.75
30/09/2021,46.50
29/09/2021,45.90
28/09/2021,46.00
27/09/2021,44.00
24/09/2021,45.40
23/09/2021,46.50
22/09/2021,46.60
21/09/2021,46.70
20/09/2021,45.00
17/09/2021,47.00
16/09/2021,47.00
15/09/2021,46.75
14/09/2021,43.75
13/09/2021,43.80
10/09/2021,44.90
09/09/2021,44.90
08/09/2021,43.45
07/09/2021,42.10
06/09/2021,42.85
01/09/2021,40.05
31/08/2021,39.90
30/08/2021,39.70
27/08/2021,38.25
26/08/2021,38.10
25/08/2021,38.70
24/08/2021,37.60
23/08/2021,37.50
20/08/2021,38.75
19/08/2021,40.45
18/08/2021,39.90
17/08/2021,39.80
16/08/2021,38.10
13/08/2021,37.50
12/08/2021,37.55
11/08/2021,38.25
10/08/2021,38.75
09/08/2021,38.80
06/08/2021,38.00
05/08/2021,38.60
04/08/2021,37.50
03/08/2021,37.00
02/08/2021,37.40
30/07/2021,37.30
29/07/2021,36.90
28/07/2021,35.90
27/07/2021,35.70
26/07/2021,34.40
23/07/2021,34.95
22/07/2021,36.30
21/07/2021,35.80
20/07/2021,35.40
19/07/2021,33.10
16/07/2021,35.50
15/07/2021,36.00
14/07/2021,34.40
13/07/2021,33.95
12/07/2021,33.00
09/07/2021,35.45
08/07/2021,37.10
07/07/2021,38.90
06/07/2021,38.70
05/07/2021,41.60
02/07/2021,42.40
01/07/2021,42.60
30/06/2021,41.90
29/06/2021,42.00
28/06/2021,42.75
25/06/2021,41.30
24/06/2021,40.50
23/06/2021,41.15
22/06/2021,41.80
21/06/2021,42.20
18/06/2021,43.00
17/06/2021,41.80
16/06/2021,40.50
15/06/2021,41.85
14/06/2021,44.90
11/06/2021,44.05
10/06/2021,43.50
09/06/2021,43.20
08/06/2021,42.25
07/06/2021,45.40
04/06/2021,46.10
03/06/2021,44.50
02/06/2021,43.30
01/06/2021,43.50
31/05/2021,43.90
28/05/2021,41.25
27/05/2021,40.30
26/05/2021,40.00
25/05/2021,40.20
24/05/2021,38.00
21/05/2021,37.90
20/05/2021,38.05
19/05/2021,38.70
18/05/2021,38.45
17/05/2021,37.50
14/05/2021,36.80
13/05/2021,37.40
12/05/2021,38.10
11/05/2021,37.75
10/05/2021,39.20
07/05/2021,36.70
06/05/2021,34.90
05/05/2021,33.50
04/05/2021,33.60
29/04/2021,31.75
28/04/2021,31.30
27/04/2021,31.40
26/04/2021,30.20
23/04/2021,30.15
22/04/2021,29.35
20/04/2021,31.55
19/04/2021,32.55
16/04/2021,31.45
15/04/2021,31.55
14/04/2021,29.95
13/04/2021,29.30
12/04/2021,30.30
09/04/2021,30.15
08/04/2021,29.55
07/04/2021,29.25
06/04/2021,28.50
05/04/2021,28.85
02/04/2021,28.90
01/04/2021,29.00
31/03/2021,28.40
30/03/2021,27.85
29/03/2021,27.65
26/03/2021,27.35
25/03/2021,27.30
24/03/2021,27.10
23/03/2021,28.60
22/03/2021,28.75
19/03/2021,29.10
18/03/2021,28.70
17/03/2021,28.40
16/03/2021,28.30
15/03/2021,28.15
12/03/2021,28.20
11/03/2021,28.45
10/03/2021,28.10
09/03/2021,28.30
08/03/2021,28.85
05/03/2021,27.95
04/03/2021,27.70
03/03/2021,28.10
02/03/2021,27.90
01/03/2021,28.00
26/02/2021,26.50
25/02/2021,25.80
24/02/2021,25.55
23/02/2021,25.70
22/02/2021,25.75
19/02/2021,25.15
18/02/2021,24.90
17/02/2021,25.45
09/02/2021,24.00
05/02/2021,24.00
04/02/2021,23.90
03/02/2021,23.90
02/02/2021,22.85
01/02/2021,22.00
29/01/2021,23.35
28/01/2021,21.85
27/01/2021,23.45
26/01/2021,25.15
25/01/2021,26.85
22/01/2021,26.50
21/01/2021,26.25
20/01/2021,24.60
19/01/2021,24.40
18/01/2021,25.50
15/01/2021,25.30
14/01/2021,25.05
13/01/2021,25.25
12/01/2021,25.10
11/01/2021,24.10
08/01/2021,24.10
07/01/2021,24.10
06/01/2021,23.70
05/01/2021,23.80
04/01/2021,23.70
31/12/2020,22.15
30/12/2020,21.75
29/12/2020,21.95
28/12/2020,22.20
25/12/2020,22.25
24/12/2020,22.05
23/12/2020,22.30
22/12/2020,22.00
21/12/2020,21.65
18/12/2020,21.75
17/12/2020,21.15
16/12/2020,20.95
15/12/2020,20.90
14/12/2020,21.20
11/12/2020,20.70
10/12/2020,19.90
09/12/2020,20.15
08/12/2020,20.10
07/12/2020,19.65
04/12/2020,18.40
03/12/2020,18.55
02/12/2020,17.95
01/12/2020,18.35
30/11/2020,18.00
27/11/2020,18.55
26/11/2020,18.50
25/11/2020,18.10
24/11/2020,18.70
23/11/2020,17.70
20/11/2020,18.40
19/11/2020,18.80
18/11/2020,19.05
17/11/2020,19.10
16/11/2020,18.15
13/11/2020,18.05
12/11/2020,17.80
11/11/2020,17.80
