Date,Closing Price
10/05/2022,60.00
09/05/2022,64.00
06/05/2022,64.00
05/05/2022,64.00
04/05/2022,64.00
29/04/2022,64.00
28/04/2022,63.90
27/04/2022,61.50
26/04/2022,60.00
25/04/2022,60.00
22/04/2022,62.00
21/04/2022,64.50
20/04/2022,61.00
19/04/2022,60.10
18/04/2022,60.70
15/04/2022,61.00
14/04/2022,64.00
13/04/2022,64.00
12/04/2022,61.00
08/04/2022,65.00
07/04/2022,65.00
06/04/2022,65.00
05/04/2022,63.50
04/04/2022,68.00
01/04/2022,68.00
31/03/2022,68.00
30/03/2022,68.00
29/03/2022,67.90
28/03/2022,67.90
25/03/2022,66.90
24/03/2022,66.90
23/03/2022,66.90
22/03/2022,66.90
21/03/2022,66.00
18/03/2022,68.60
17/03/2022,68.60
16/03/2022,68.60
15/03/2022,68.60
14/03/2022,68.60
11/03/2022,68.60
10/03/2022,68.60
09/03/2022,68.40
08/03/2022,68.40
07/03/2022,68.40
04/03/2022,68.00
03/03/2022,68.00
02/03/2022,68.00
01/03/2022,66.70
28/02/2022,66.70
25/02/2022,66.70
24/02/2022,62.40
23/02/2022,67.00
22/02/2022,67.00
21/02/2022,67.00
18/02/2022,67.00
17/02/2022,67.00
16/02/2022,67.00
15/02/2022,67.00
14/02/2022,67.00
11/02/2022,67.00
10/02/2022,71.50
09/02/2022,71.50
08/02/2022,71.50
07/02/2022,71.50
28/01/2022,71.50
27/01/2022,71.40
26/01/2022,71.40
25/01/2022,71.40
24/01/2022,71.40
21/01/2022,71.40
20/01/2022,70.80
19/01/2022,67.00
18/01/2022,67.00
17/01/2022,66.00
14/01/2022,66.00
13/01/2022,66.00
12/01/2022,66.00
11/01/2022,66.00
10/01/2022,64.00
07/01/2022,66.00
06/01/2022,63.00
05/01/2022,58.90
04/01/2022,55.10
31/12/2021,53.60
30/12/2021,53.50
29/12/2021,53.50
28/12/2021,55.40
27/12/2021,55.00
24/12/2021,55.20
23/12/2021,55.20
22/12/2021,55.20
21/12/2021,55.20
20/12/2021,56.20
17/12/2021,54.00
16/12/2021,56.20
15/12/2021,60.00
14/12/2021,60.00
13/12/2021,61.10
10/12/2021,61.60
09/12/2021,61.60
08/12/2021,61.80
07/12/2021,61.90
06/12/2021,59.70
03/12/2021,60.80
02/12/2021,60.10
01/12/2021,57.00
30/11/2021,54.70
29/11/2021,53.60
26/11/2021,53.10
25/11/2021,53.00
24/11/2021,53.00
23/11/2021,53.00
22/11/2021,51.50
19/11/2021,50.50
18/11/2021,50.00
17/11/2021,51.50
16/11/2021,48.40
15/11/2021,52.00
12/11/2021,52.40
11/11/2021,52.40
10/11/2021,52.50
09/11/2021,50.10
08/11/2021,50.10
05/11/2021,53.00
04/11/2021,53.00
03/11/2021,51.00
02/11/2021,51.00
01/11/2021,51.00
29/10/2021,54.70
28/10/2021,54.70
27/10/2021,54.70
26/10/2021,54.70
25/10/2021,54.70
22/10/2021,53.80
21/10/2021,57.70
20/10/2021,57.70
19/10/2021,57.70
18/10/2021,57.70
15/10/2021,57.70
14/10/2021,54.00
13/10/2021,50.50
12/10/2021,50.50
11/10/2021,54.00
08/10/2021,54.00
07/10/2021,54.20
06/10/2021,54.20
05/10/2021,54.20
04/10/2021,54.00
01/10/2021,54.60
30/09/2021,54.60
29/09/2021,54.40
28/09/2021,54.40
27/09/2021,54.40
24/09/2021,54.40
23/09/2021,56.00
22/09/2021,56.00
21/09/2021,53.00
20/09/2021,50.20
17/09/2021,47.00
16/09/2021,47.00
15/09/2021,50.40
14/09/2021,50.40
13/09/2021,50.40
10/09/2021,50.40
09/09/2021,50.40
08/09/2021,54.00
07/09/2021,54.00
06/09/2021,54.00
27/08/2021,54.00
26/08/2021,54.00
25/08/2021,54.00
24/08/2021,54.00
23/08/2021,54.00
20/08/2021,54.00
19/08/2021,54.00
18/08/2021,55.00
17/08/2021,54.80
13/08/2021,55.00
12/08/2021,55.00
11/08/2021,55.00
10/08/2021,56.10
09/08/2021,56.10
06/08/2021,51.00
05/08/2021,51.00
04/08/2021,51.50
03/08/2021,52.00
02/08/2021,52.00
30/07/2021,52.00
29/07/2021,52.00
28/07/2021,52.00
27/07/2021,52.00
26/07/2021,52.00
23/07/2021,52.00
22/07/2021,52.50
21/07/2021,52.50
20/07/2021,52.50
19/07/2021,52.50
16/07/2021,52.50
15/07/2021,52.50
14/07/2021,52.00
13/07/2021,52.00
12/07/2021,52.00
09/07/2021,52.00
08/07/2021,52.00
07/07/2021,52.20
06/07/2021,52.20
05/07/2021,47.50
02/07/2021,47.50
01/07/2021,51.20
30/06/2021,51.20
29/06/2021,56.50
28/06/2021,56.50
25/06/2021,56.50
24/06/2021,56.50
23/06/2021,55.00
22/06/2021,55.00
18/06/2021,56.50
17/06/2021,56.50
16/06/2021,56.50
14/06/2021,57.80
11/06/2021,57.80
10/06/2021,56.90
09/06/2021,56.90
08/06/2021,56.90
07/06/2021,57.00
04/06/2021,57.00
03/06/2021,57.00
02/06/2021,59.00
01/06/2021,59.50
31/05/2021,59.50
28/05/2021,60.00
27/05/2021,61.00
26/05/2021,61.00
25/05/2021,59.00
24/05/2021,59.00
21/05/2021,59.60
20/05/2021,59.10
19/05/2021,59.00
18/05/2021,59.70
17/05/2021,59.70
14/05/2021,59.80
13/05/2021,59.10
12/05/2021,58.00
11/05/2021,56.80
10/05/2021,60.30
07/05/2021,58.00
06/05/2021,58.10
05/05/2021,57.50
04/05/2021,58.00
29/04/2021,58.00
28/04/2021,58.20
27/04/2021,57.70
26/04/2021,57.80
23/04/2021,56.70
22/04/2021,56.70
20/04/2021,56.40
19/04/2021,54.30
16/04/2021,55.10
15/04/2021,58.00
14/04/2021,58.00
13/04/2021,52.90
12/04/2021,54.90
09/04/2021,55.30
08/04/2021,55.30
07/04/2021,50.30
06/04/2021,50.30
05/04/2021,52.30
02/04/2021,53.30
01/04/2021,53.30
26/03/2021,48.50
25/03/2021,48.25
24/03/2021,48.20
23/03/2021,48.20
22/03/2021,48.20
19/03/2021,48.00
18/03/2021,48.00
17/03/2021,48.00
16/03/2021,50.50
15/03/2021,49.30
12/03/2021,50.00
11/03/2021,50.50
10/03/2021,49.50
09/03/2021,49.20
08/03/2021,52.00
05/03/2021,50.00
04/03/2021,50.00
03/03/2021,49.00
02/03/2021,47.00
01/03/2021,47.00
26/02/2021,47.00
25/02/2021,44.10
24/02/2021,47.00
23/02/2021,47.00
22/02/2021,47.00
19/02/2021,47.00
18/02/2021,47.00
17/02/2021,47.00
09/02/2021,47.00
08/02/2021,47.00
05/02/2021,47.00
04/02/2021,45.20
03/02/2021,45.20
02/02/2021,45.20
01/02/2021,45.00
29/01/2021,45.00
28/01/2021,45.00
27/01/2021,46.50
26/01/2021,46.50
25/01/2021,46.80
22/01/2021,46.80
21/01/2021,46.80
20/01/2021,46.70
19/01/2021,46.50
18/01/2021,46.50
15/01/2021,46.50
14/01/2021,47.30
13/01/2021,47.30
12/01/2021,48.00
11/01/2021,48.00
08/01/2021,48.00
07/01/2021,50.00
06/01/2021,50.00
05/01/2021,50.20
04/01/2021,47.10
31/12/2020,47.00
30/12/2020,47.90
29/12/2020,48.00
28/12/2020,46.05
25/12/2020,46.05
24/12/2020,46.00
23/12/2020,46.85
22/12/2020,46.85
21/12/2020,46.85
18/12/2020,46.85
17/12/2020,45.70
16/12/2020,47.50
15/12/2020,47.50
14/12/2020,47.50
11/12/2020,47.50
10/12/2020,47.50
09/12/2020,47.15
08/12/2020,47.15
07/12/2020,47.60
04/12/2020,47.60
03/12/2020,48.00
02/12/2020,48.00
01/12/2020,48.00
30/11/2020,48.50
27/11/2020,48.50
26/11/2020,46.65
25/11/2020,48.50
24/11/2020,48.50
23/11/2020,49.10
20/11/2020,49.00
19/11/2020,49.00
18/11/2020,49.00
17/11/2020,49.00
16/11/2020,48.00
13/11/2020,48.50
12/11/2020,48.50
11/11/2020,48.80
10/11/2020,48.50
09/11/2020,48.50
06/11/2020,49.00
05/11/2020,49.00
04/11/2020,49.00
03/11/2020,48.90
02/11/2020,48.90
30/10/2020,49.00
29/10/2020,48.80
28/10/2020,48.70
27/10/2020,48.80
26/10/2020,48.80
23/10/2020,48.80
22/10/2020,48.80
21/10/2020,48.80
20/10/2020,48.80
19/10/2020,48.80
16/10/2020,49.00
15/10/2020,49.50
14/10/2020,49.00
13/10/2020,49.00
12/10/2020,48.60
09/10/2020,48.50
08/10/2020,49.00
07/10/2020,48.50
06/10/2020,48.15
05/10/2020,48.15
02/10/2020,48.00
01/10/2020,48.50
30/09/2020,47.55
29/09/2020,48.00
28/09/2020,47.75
25/09/2020,48.30
24/09/2020,47.00
23/09/2020,47.65
22/09/2020,46.90
21/09/2020,46.70
18/09/2020,46.00
17/09/2020,47.70
16/09/2020,47.10
15/09/2020,47.30
14/09/2020,47.50
11/09/2020,46.60
10/09/2020,46.15
09/09/2020,46.50
08/09/2020,45.00
07/09/2020,45.00
04/09/2020,45.30
03/09/2020,45.60
01/09/2020,45.95
31/08/2020,43.60
28/08/2020,45.50
27/08/2020,45.00
26/08/2020,45.35
25/08/2020,44.20
24/08/2020,41.40
21/08/2020,41.20
20/08/2020,40.50
19/08/2020,41.60
18/08/2020,39.30
17/08/2020,39.20
14/08/2020,39.10
13/08/2020,40.50
12/08/2020,40.50
11/08/2020,40.20
10/08/2020,40.50
07/08/2020,40.00
06/08/2020,38.00
05/08/2020,36.50
04/08/2020,38.00
03/08/2020,36.15
31/07/2020,36.05
30/07/2020,36.05
29/07/2020,38.00
28/07/2020,38.00
27/07/2020,39.00
24/07/2020,39.00
23/07/2020,39.00
22/07/2020,39.00
21/07/2020,39.50
20/07/2020,39.50
17/07/2020,39.00
16/07/2020,39.00
15/07/2020,38.95
14/07/2020,39.00
13/07/2020,39.00
10/07/2020,37.10
09/07/2020,39.00
08/07/2020,37.45
07/07/2020,39.00
06/07/2020,39.00
03/07/2020,39.00
02/07/2020,39.00
01/07/2020,39.00
30/06/2020,39.00
29/06/2020,36.75
26/06/2020,36.60
25/06/2020,39.00
24/06/2020,39.00
23/06/2020,39.00
22/06/2020,36.60
19/06/2020,36.50
18/06/2020,37.70
17/06/2020,37.70
16/06/2020,37.70
15/06/2020,37.60
12/06/2020,37.60
11/06/2020,38.00
10/06/2020,38.30
09/06/2020,38.30
08/06/2020,38.20
05/06/2020,38.85
04/06/2020,38.85
03/06/2020,39.20
02/06/2020,38.25
01/06/2020,38.25
29/05/2020,39.00
28/05/2020,38.80
27/05/2020,38.80
26/05/2020,38.50
25/05/2020,39.00
22/05/2020,39.00
21/05/2020,39.50
20/05/2020,40.00
19/05/2020,39.00
18/05/2020,39.10
15/05/2020,37.40
14/05/2020,37.30
13/05/2020,37.30
12/05/2020,37.30
11/05/2020,37.10
08/05/2020,37.55
07/05/2020,37.55
06/05/2020,37.85
05/05/2020,35.40
04/05/2020,38.00
29/04/2020,39.40
28/04/2020,38.00
27/04/2020,38.20
24/04/2020,38.90
23/04/2020,37.10
22/04/2020,39.15
21/04/2020,38.50
20/04/2020,39.30
17/04/2020,39.40
16/04/2020,39.20
15/04/2020,38.00
14/04/2020,39.50
13/04/2020,37.20
10/04/2020,38.80
09/04/2020,37.50
08/04/2020,38.70
07/04/2020,38.50
06/04/2020,39.00
03/04/2020,39.00
01/04/2020,39.00
31/03/2020,38.70
30/03/2020,38.40
27/03/2020,38.05
26/03/2020,38.00
25/03/2020,39.15
24/03/2020,40.00
23/03/2020,40.00
20/03/2020,41.30
19/03/2020,41.40
18/03/2020,41.70
17/03/2020,41.00
16/03/2020,40.35
13/03/2020,40.35
12/03/2020,41.80
11/03/2020,42.50
10/03/2020,42.00
09/03/2020,42.10
06/03/2020,42.00
05/03/2020,42.00
04/03/2020,42.00
03/03/2020,41.60
02/03/2020,42.00
28/02/2020,42.80
27/02/2020,42.50
26/02/2020,40.10
25/02/2020,42.00
24/02/2020,40.50
21/02/2020,40.50
20/02/2020,41.60
19/02/2020,41.60
18/02/2020,42.00
17/02/2020,41.20
14/02/2020,42.00
13/02/2020,41.50
12/02/2020,41.50
11/02/2020,42.30
10/02/2020,41.50
07/02/2020,41.10
06/02/2020,42.00
05/02/2020,41.60
04/02/2020,41.60
03/02/2020,41.00
31/01/2020,41.00
30/01/2020,41.90
22/01/2020,41.90
21/01/2020,40.70
20/01/2020,42.80
17/01/2020,42.80
16/01/2020,42.80
15/01/2020,42.80
14/01/2020,41.90
13/01/2020,41.95
10/01/2020,43.00
09/01/2020,43.00
08/01/2020,42.95
07/01/2020,41.85
06/01/2020,41.85
03/01/2020,41.85
02/01/2020,41.85
