Date,Closing Price
10/05/2022,11.50
09/05/2022,11.70
06/05/2022,12.55
05/05/2022,13.00
04/05/2022,13.00
29/04/2022,13.00
28/04/2022,12.90
27/04/2022,13.05
26/04/2022,12.85
25/04/2022,12.65
22/04/2022,13.55
21/04/2022,13.50
20/04/2022,12.95
19/04/2022,13.55
18/04/2022,14.55
15/04/2022,15.40
14/04/2022,15.40
13/04/2022,15.30
12/04/2022,14.80
08/04/2022,15.40
07/04/2022,15.90
06/04/2022,16.40
05/04/2022,16.80
04/04/2022,17.00
01/04/2022,17.00
31/03/2022,17.10
30/03/2022,17.10
29/03/2022,17.05
28/03/2022,17.50
25/03/2022,17.60
24/03/2022,17.20
23/03/2022,17.15
22/03/2022,17.00
21/03/2022,17.05
18/03/2022,17.10
17/03/2022,17.05
16/03/2022,17.25
15/03/2022,16.80
14/03/2022,16.90
11/03/2022,17.80
10/03/2022,18.05
09/03/2022,17.85
08/03/2022,16.70
07/03/2022,16.80
04/03/2022,16.90
03/03/2022,16.75
02/03/2022,17.10
01/03/2022,17.55
28/02/2022,17.80
25/02/2022,17.70
24/02/2022,17.30
23/02/2022,17.60
22/02/2022,17.60
21/02/2022,16.80
18/02/2022,16.65
17/02/2022,16.30
16/02/2022,16.45
15/02/2022,16.30
14/02/2022,16.40
11/02/2022,16.10
10/02/2022,16.10
09/02/2022,16.50
08/02/2022,16.55
07/02/2022,16.50
28/01/2022,15.65
27/01/2022,15.50
26/01/2022,15.40
25/01/2022,15.85
24/01/2022,15.60
21/01/2022,16.65
20/01/2022,17.10
19/01/2022,17.30
18/01/2022,16.20
17/01/2022,16.10
14/01/2022,17.30
13/01/2022,18.10
29/12/2021,19.20
28/12/2021,18.90
27/12/2021,18.50
24/12/2021,18.70
23/12/2021,18.70
21/12/2021,18.50
20/12/2021,18.90
17/12/2021,19.30
16/12/2021,19.30
15/12/2021,19.40
14/12/2021,19.60
13/12/2021,20.30
10/12/2021,20.10
09/12/2021,20.30
08/12/2021,20.70
07/12/2021,18.60
06/12/2021,18.00
03/12/2021,18.40
02/12/2021,18.60
01/12/2021,18.60
30/11/2021,18.50
29/11/2021,17.80
26/11/2021,18.00
25/11/2021,18.30
24/11/2021,18.40
23/11/2021,18.30
22/11/2021,18.90
19/11/2021,19.20
18/11/2021,19.20
17/11/2021,18.10
16/11/2021,18.30
15/11/2021,18.40
12/11/2021,17.90
11/11/2021,18.00
10/11/2021,18.00
09/11/2021,17.90
08/11/2021,17.70
05/11/2021,17.90
04/11/2021,17.80
03/11/2021,17.60
02/11/2021,18.60
01/11/2021,18.80
29/10/2021,18.50
28/10/2021,18.00
27/10/2021,17.80
26/10/2021,17.80
25/10/2021,17.40
22/10/2021,17.40
21/10/2021,17.40
20/10/2021,17.10
19/10/2021,16.10
