Date,Closing Price
10/05/2022,64.00
09/05/2022,61.30
06/05/2022,67.90
05/05/2022,68.00
04/05/2022,67.90
29/04/2022,66.80
28/04/2022,64.00
27/04/2022,63.90
26/04/2022,59.90
25/04/2022,61.60
22/04/2022,66.20
21/04/2022,71.10
20/04/2022,71.10
19/04/2022,73.70
18/04/2022,74.00
15/04/2022,73.40
14/04/2022,72.50
13/04/2022,69.50
12/04/2022,68.50
08/04/2022,68.90
07/04/2022,69.50
06/04/2022,70.60
05/04/2022,70.60
04/04/2022,68.00
01/04/2022,67.80
31/03/2022,66.60
30/03/2022,68.50
29/03/2022,67.80
28/03/2022,67.80
25/03/2022,63.40
24/03/2022,62.00
23/03/2022,61.70
22/03/2022,61.10
21/03/2022,61.30
18/03/2022,61.40
17/03/2022,61.80
16/03/2022,62.50
15/03/2022,62.50
14/03/2022,62.00
11/03/2022,62.50
10/03/2022,62.00
09/03/2022,59.00
08/03/2022,58.00
07/03/2022,59.70
04/03/2022,60.60
03/03/2022,61.90
02/03/2022,61.90
01/03/2022,61.50
28/02/2022,61.00
25/02/2022,60.00
24/02/2022,59.00
23/02/2022,60.00
22/02/2022,59.20
21/02/2022,58.80
18/02/2022,58.70
17/02/2022,57.20
16/02/2022,55.00
15/02/2022,54.60
14/02/2022,54.30
11/02/2022,52.50
10/02/2022,52.40
09/02/2022,52.60
08/02/2022,53.00
07/02/2022,50.90
28/01/2022,50.30
27/01/2022,50.30
26/01/2022,50.50
25/01/2022,49.25
24/01/2022,47.80
21/01/2022,49.20
20/01/2022,48.60
19/01/2022,48.60
18/01/2022,49.05
17/01/2022,49.00
14/01/2022,51.50
13/01/2022,51.70
12/01/2022,51.70
11/01/2022,52.00
10/01/2022,52.40
07/01/2022,53.00
06/01/2022,53.00
05/01/2022,54.00
04/01/2022,52.00
31/12/2021,52.00
30/12/2021,50.20
29/12/2021,51.40
28/12/2021,51.60
27/12/2021,51.30
24/12/2021,50.60
23/12/2021,48.90
22/12/2021,50.20
21/12/2021,50.90
20/12/2021,52.00
17/12/2021,53.00
16/12/2021,53.00
15/12/2021,53.40
14/12/2021,53.80
13/12/2021,54.00
10/12/2021,54.00
09/12/2021,53.80
08/12/2021,53.30
07/12/2021,53.00
06/12/2021,50.50
03/12/2021,54.00
02/12/2021,56.30
01/12/2021,56.90
30/11/2021,56.70
29/11/2021,57.10
26/11/2021,53.40
25/11/2021,53.40
24/11/2021,53.40
23/11/2021,52.20
22/11/2021,49.70
19/11/2021,52.60
18/11/2021,53.30
17/11/2021,53.30
16/11/2021,53.20
15/11/2021,52.50
12/11/2021,53.10
11/11/2021,52.60
10/11/2021,54.00
09/11/2021,53.70
08/11/2021,53.90
05/11/2021,52.90
04/11/2021,49.50
03/11/2021,49.30
02/11/2021,49.80
01/11/2021,49.00
29/10/2021,49.55
28/10/2021,49.40
27/10/2021,50.00
26/10/2021,49.40
25/10/2021,47.40
22/10/2021,49.75
21/10/2021,49.40
20/10/2021,49.50
19/10/2021,50.10
18/10/2021,50.70
15/10/2021,50.40
14/10/2021,49.65
13/10/2021,50.00
12/10/2021,50.50
11/10/2021,50.20
08/10/2021,50.90
07/10/2021,51.90
06/10/2021,49.80
05/10/2021,50.00
04/10/2021,49.90
01/10/2021,50.00
30/09/2021,49.50
29/09/2021,49.60
28/09/2021,49.50
27/09/2021,47.00
24/09/2021,47.40
23/09/2021,48.00
22/09/2021,48.00
21/09/2021,47.50
20/09/2021,47.65
17/09/2021,48.10
16/09/2021,47.70
15/09/2021,47.40
14/09/2021,47.15
13/09/2021,46.90
10/09/2021,46.80
09/09/2021,45.00
08/09/2021,44.50
07/09/2021,44.50
06/09/2021,45.35
01/09/2021,46.00
31/08/2021,45.50
30/08/2021,45.60
27/08/2021,42.65
26/08/2021,41.85
25/08/2021,41.80
24/08/2021,41.20
23/08/2021,40.00
20/08/2021,41.40
19/08/2021,43.80
18/08/2021,43.75
17/08/2021,42.90
16/08/2021,43.30
13/08/2021,41.50
12/08/2021,38.80
11/08/2021,38.60
10/08/2021,39.30
09/08/2021,39.40
06/08/2021,39.20
05/08/2021,38.90
04/08/2021,38.70
03/08/2021,37.00
02/08/2021,36.80
30/07/2021,36.30
29/07/2021,36.75
28/07/2021,36.75
27/07/2021,36.75
26/07/2021,36.45
23/07/2021,35.30
22/07/2021,35.30
21/07/2021,34.30
20/07/2021,33.80
19/07/2021,32.80
16/07/2021,33.35
15/07/2021,33.20
14/07/2021,32.85
13/07/2021,32.75
12/07/2021,31.70
09/07/2021,34.00
08/07/2021,34.80
07/07/2021,36.05
06/07/2021,36.20
05/07/2021,36.65
02/07/2021,37.30
01/07/2021,36.80
30/06/2021,36.70
29/06/2021,37.10
28/06/2021,36.90
25/06/2021,36.80
24/06/2021,37.00
23/06/2021,37.90
22/06/2021,37.30
21/06/2021,38.20
18/06/2021,39.00
17/06/2021,39.00
16/06/2021,37.70
15/06/2021,36.80
14/06/2021,36.60
11/06/2021,36.70
10/06/2021,36.60
09/06/2021,34.25
08/06/2021,34.20
07/06/2021,35.30
04/06/2021,34.60
03/06/2021,33.10
02/06/2021,32.00
01/06/2021,32.40
31/05/2021,32.80
28/05/2021,33.45
27/05/2021,33.45
26/05/2021,33.45
25/05/2021,33.50
24/05/2021,33.80
21/05/2021,33.60
20/05/2021,32.10
19/05/2021,32.40
18/05/2021,32.40
17/05/2021,32.40
14/05/2021,32.05
13/05/2021,32.00
12/05/2021,32.00
11/05/2021,31.20
10/05/2021,31.10
07/05/2021,31.10
06/05/2021,31.45
05/05/2021,31.45
04/05/2021,31.15
29/04/2021,31.60
28/04/2021,31.00
27/04/2021,30.30
26/04/2021,30.90
23/04/2021,32.00
22/04/2021,32.00
20/04/2021,33.40
19/04/2021,33.15
16/04/2021,33.50
15/04/2021,34.15
14/04/2021,34.50
13/04/2021,34.50
12/04/2021,35.00
09/04/2021,35.35
08/04/2021,35.50
07/04/2021,35.25
06/04/2021,35.20
05/04/2021,35.20
02/04/2021,36.50
01/04/2021,36.65
31/03/2021,35.35
30/03/2021,35.50
29/03/2021,35.60
26/03/2021,35.10
25/03/2021,34.55
24/03/2021,34.40
23/03/2021,36.20
22/03/2021,36.05
19/03/2021,36.40
18/03/2021,37.00
17/03/2021,37.35
16/03/2021,37.50
15/03/2021,37.10
12/03/2021,34.80
11/03/2021,33.90
10/03/2021,33.50
09/03/2021,33.20
08/03/2021,33.60
05/03/2021,33.30
04/03/2021,33.20
03/03/2021,34.20
02/03/2021,33.80
01/03/2021,33.80
26/02/2021,32.25
25/02/2021,32.60
24/02/2021,32.70
23/02/2021,33.00
22/02/2021,32.95
19/02/2021,32.60
18/02/2021,32.20
17/02/2021,31.20
09/02/2021,29.95
08/02/2021,29.50
05/02/2021,30.60
04/02/2021,30.30
03/02/2021,29.70
02/02/2021,28.85
01/02/2021,28.35
29/01/2021,29.20
28/01/2021,28.75
27/01/2021,30.90
26/01/2021,31.90
25/01/2021,33.00
22/01/2021,33.00
21/01/2021,33.30
20/01/2021,32.75
19/01/2021,32.55
18/01/2021,34.90
15/01/2021,37.50
14/01/2021,38.20
13/01/2021,37.20
12/01/2021,37.20
11/01/2021,37.10
08/01/2021,38.00
07/01/2021,38.45
06/01/2021,37.40
05/01/2021,36.60
04/01/2021,36.60
31/12/2020,35.90
30/12/2020,35.25
29/12/2020,35.15
28/12/2020,35.30
25/12/2020,35.40
24/12/2020,34.85
23/12/2020,35.75
22/12/2020,35.20
21/12/2020,35.40
18/12/2020,35.35
17/12/2020,35.90
16/12/2020,36.55
15/12/2020,36.55
14/12/2020,35.70
11/12/2020,35.70
10/12/2020,35.00
09/12/2020,36.25
08/12/2020,36.60
07/12/2020,35.60
04/12/2020,36.15
03/12/2020,37.55
02/12/2020,37.30
01/12/2020,37.90
30/11/2020,36.15
27/11/2020,36.20
26/11/2020,36.30
25/11/2020,33.95
23/11/2020,34.15
20/11/2020,34.50
19/11/2020,33.20
18/11/2020,33.20
17/11/2020,33.20
16/11/2020,32.80
13/11/2020,33.45
12/11/2020,33.20
11/11/2020,33.30
10/11/2020,32.70
09/11/2020,33.40
06/11/2020,31.95
05/11/2020,31.60
04/11/2020,31.40
03/11/2020,30.45
02/11/2020,30.30
30/10/2020,30.20
29/10/2020,29.95
28/10/2020,30.05
27/10/2020,31.25
26/10/2020,31.90
23/10/2020,31.30
22/10/2020,31.00
21/10/2020,31.30
20/10/2020,31.50
19/10/2020,30.50
16/10/2020,31.00
15/10/2020,31.50
14/10/2020,32.35
13/10/2020,33.30
12/10/2020,32.75
09/10/2020,33.55
08/10/2020,33.60
07/10/2020,34.20
06/10/2020,34.20
05/10/2020,34.00
02/10/2020,33.60
01/10/2020,34.15
30/09/2020,34.15
29/09/2020,34.20
28/09/2020,35.20
25/09/2020,34.20
24/09/2020,34.30
23/09/2020,34.70
22/09/2020,35.00
21/09/2020,32.80
18/09/2020,32.90
17/09/2020,32.85
16/09/2020,33.45
15/09/2020,34.00
14/09/2020,34.15
11/09/2020,33.10
10/09/2020,32.00
09/09/2020,32.90
08/09/2020,32.60
07/09/2020,31.80
04/09/2020,32.40
03/09/2020,31.65
01/09/2020,30.95
31/08/2020,29.00
28/08/2020,29.20
27/08/2020,29.60
26/08/2020,28.30
25/08/2020,28.35
24/08/2020,28.90
21/08/2020,28.20
20/08/2020,28.00
19/08/2020,28.55
18/08/2020,28.60
17/08/2020,27.70
14/08/2020,27.00
13/08/2020,27.35
12/08/2020,27.00
