Date,Closing Price
10/05/2022,61.40
09/05/2022,62.50
06/05/2022,63.20
05/05/2022,64.70
04/05/2022,63.70
29/04/2022,64.80
28/04/2022,64.30
27/04/2022,63.70
26/04/2022,63.20
25/04/2022,62.10
22/04/2022,66.70
21/04/2022,69.00
20/04/2022,70.00
19/04/2022,65.80
18/04/2022,70.70
15/04/2022,68.90
14/04/2022,65.90
13/04/2022,64.90
12/04/2022,64.00
08/04/2022,63.70
07/04/2022,65.50
06/04/2022,65.00
05/04/2022,63.30
04/04/2022,62.80
01/04/2022,63.50
31/03/2022,63.00
30/03/2022,61.10
29/03/2022,59.70
28/03/2022,55.80
25/03/2022,56.20
24/03/2022,56.50
23/03/2022,56.20
22/03/2022,55.20
21/03/2022,59.00
18/03/2022,59.50
17/03/2022,59.30
16/03/2022,55.50
15/03/2022,55.50
14/03/2022,55.30
11/03/2022,55.60
10/03/2022,55.80
09/03/2022,54.00
08/03/2022,54.20
07/03/2022,55.50
04/03/2022,55.90
03/03/2022,55.80
02/03/2022,54.70
01/03/2022,54.70
28/02/2022,55.00
25/02/2022,55.50
24/02/2022,56.30
23/02/2022,57.10
22/02/2022,56.70
21/02/2022,57.20
18/02/2022,56.70
17/02/2022,56.70
16/02/2022,56.00
15/02/2022,54.90
14/02/2022,55.30
11/02/2022,55.50
10/02/2022,56.00
09/02/2022,60.00
08/02/2022,58.60
07/02/2022,58.20
28/01/2022,54.40
27/01/2022,51.80
26/01/2022,51.50
25/01/2022,51.60
24/01/2022,51.60
21/01/2022,54.50
20/01/2022,53.00
19/01/2022,53.00
18/01/2022,49.60
17/01/2022,51.00
14/01/2022,54.30
13/01/2022,54.80
12/01/2022,55.00
11/01/2022,55.00
10/01/2022,57.00
07/01/2022,59.00
06/01/2022,60.00
05/01/2022,62.20
04/01/2022,61.00
31/12/2021,60.00
30/12/2021,59.50
29/12/2021,60.00
28/12/2021,60.00
27/12/2021,59.70
24/12/2021,59.00
23/12/2021,58.00
22/12/2021,59.40
21/12/2021,59.30
20/12/2021,59.30
17/12/2021,60.40
16/12/2021,60.10
15/12/2021,60.30
14/12/2021,60.50
13/12/2021,61.50
10/12/2021,62.00
09/12/2021,61.00
08/12/2021,60.70
07/12/2021,60.80
06/12/2021,60.10
03/12/2021,60.90
02/12/2021,62.40
01/12/2021,62.50
30/11/2021,62.00
29/11/2021,63.80
26/11/2021,65.50
25/11/2021,68.50
24/11/2021,68.30
23/11/2021,66.40
22/11/2021,66.90
19/11/2021,69.90
18/11/2021,69.00
17/11/2021,64.60
16/11/2021,63.90
15/11/2021,63.80
12/11/2021,64.10
11/11/2021,64.00
10/11/2021,64.80
09/11/2021,65.00
08/11/2021,64.30
05/11/2021,63.50
04/11/2021,62.90
03/11/2021,62.40
02/11/2021,63.80
01/11/2021,64.00
29/10/2021,63.00
28/10/2021,61.80
27/10/2021,60.50
26/10/2021,59.60
25/10/2021,60.00
22/10/2021,60.90
21/10/2021,61.00
20/10/2021,59.60
19/10/2021,59.70
18/10/2021,61.00
15/10/2021,62.00
14/10/2021,61.80
13/10/2021,60.70
12/10/2021,60.90
11/10/2021,61.00
08/10/2021,61.30
07/10/2021,61.30
06/10/2021,59.40
05/10/2021,59.40
04/10/2021,57.70
01/10/2021,57.80
30/09/2021,58.80
29/09/2021,58.90
28/09/2021,59.00
27/09/2021,57.30
24/09/2021,60.50
23/09/2021,62.50
22/09/2021,64.20
21/09/2021,61.80
20/09/2021,62.90
17/09/2021,60.40
16/09/2021,60.40
15/09/2021,61.20
14/09/2021,59.90
13/09/2021,56.00
10/09/2021,54.60
09/09/2021,54.50
08/09/2021,53.00
07/09/2021,53.70
06/09/2021,53.60
01/09/2021,52.70
31/08/2021,52.80
30/08/2021,51.00
27/08/2021,50.80
26/08/2021,50.10
25/08/2021,50.20
24/08/2021,50.80
23/08/2021,49.10
20/08/2021,45.90
19/08/2021,44.90
18/08/2021,44.90
17/08/2021,45.45
16/08/2021,45.75
13/08/2021,44.00
12/08/2021,43.55
11/08/2021,43.40
10/08/2021,46.15
09/08/2021,46.95
06/08/2021,45.30
05/08/2021,45.00
04/08/2021,44.10
03/08/2021,44.75
02/08/2021,45.40
30/07/2021,42.45
29/07/2021,39.70
28/07/2021,39.80
27/07/2021,39.55
26/07/2021,38.40
23/07/2021,35.90
22/07/2021,36.00
21/07/2021,35.45
20/07/2021,35.60
19/07/2021,34.75
16/07/2021,35.60
15/07/2021,35.55
14/07/2021,36.30
13/07/2021,36.90
12/07/2021,35.40
09/07/2021,37.00
08/07/2021,37.30
07/07/2021,37.30
06/07/2021,37.60
05/07/2021,39.00
02/07/2021,39.40
01/07/2021,38.60
30/06/2021,37.30
29/06/2021,36.50
28/06/2021,36.60
25/06/2021,36.90
24/06/2021,36.25
23/06/2021,36.25
22/06/2021,35.50
21/06/2021,35.50
18/06/2021,35.40
17/06/2021,35.10
16/06/2021,35.50
15/06/2021,36.00
14/06/2021,36.30
11/06/2021,36.25
10/06/2021,36.15
09/06/2021,36.30
08/06/2021,35.40
07/06/2021,36.70
04/06/2021,37.40
03/06/2021,36.20
02/06/2021,36.35
01/06/2021,36.40
31/05/2021,37.35
28/05/2021,37.85
27/05/2021,36.10
26/05/2021,36.80
25/05/2021,37.25
24/05/2021,36.95
21/05/2021,35.15
20/05/2021,35.70
