Date,Closing Price
10/05/2022,46.55
09/05/2022,46.55
06/05/2022,48.20
05/05/2022,51.00
04/05/2022,48.00
29/04/2022,48.00
28/04/2022,48.00
27/04/2022,48.15
26/04/2022,48.15
25/04/2022,45.00
22/04/2022,48.00
21/04/2022,48.60
20/04/2022,48.50
19/04/2022,48.50
18/04/2022,52.00
15/04/2022,49.00
14/04/2022,45.80
13/04/2022,49.20
12/04/2022,49.20
08/04/2022,46.00
07/04/2022,49.30
06/04/2022,46.10
05/04/2022,43.10
04/04/2022,44.70
01/04/2022,47.80
31/03/2022,44.70
30/03/2022,41.80
29/03/2022,43.80
28/03/2022,47.05
25/03/2022,44.00
24/03/2022,45.35
23/03/2022,42.40
22/03/2022,43.00
21/03/2022,43.30
18/03/2022,40.50
17/03/2022,40.60
16/03/2022,43.00
15/03/2022,46.00
14/03/2022,46.00
11/03/2022,43.60
10/03/2022,43.60
09/03/2022,41.00
08/03/2022,41.00
07/03/2022,40.95
04/03/2022,38.80
03/03/2022,38.80
02/03/2022,36.30
01/03/2022,33.95
28/02/2022,33.95
25/02/2022,33.95
24/02/2022,36.50
23/02/2022,36.50
22/02/2022,36.50
21/02/2022,38.40
18/02/2022,38.40
17/02/2022,38.40
16/02/2022,38.40
15/02/2022,38.40
14/02/2022,38.40
11/02/2022,38.40
10/02/2022,38.40
09/02/2022,38.40
08/02/2022,38.40
07/02/2022,38.40
28/01/2022,38.40
27/01/2022,38.40
26/01/2022,38.40
25/01/2022,38.40
24/01/2022,36.00
21/01/2022,36.00
20/01/2022,34.05
19/01/2022,34.05
18/01/2022,34.05
17/01/2022,36.50
14/01/2022,36.50
13/01/2022,36.50
12/01/2022,36.50
11/01/2022,36.50
10/01/2022,36.50
07/01/2022,36.50
06/01/2022,36.50
05/01/2022,36.50
04/01/2022,36.50
31/12/2021,36.35
30/12/2021,36.40
29/12/2021,36.40
28/12/2021,36.40
27/12/2021,36.45
24/12/2021,34.60
23/12/2021,34.60
22/12/2021,34.60
21/12/2021,37.00
20/12/2021,36.00
17/12/2021,36.00
16/12/2021,36.00
15/12/2021,36.55
14/12/2021,34.20
13/12/2021,34.20
10/12/2021,36.00
09/12/2021,36.00
08/12/2021,35.70
07/12/2021,35.80
06/12/2021,35.95
03/12/2021,35.95
02/12/2021,33.60
01/12/2021,33.20
30/11/2021,35.10
