Date,Closing Price
10/05/2022,13.70
09/05/2022,14.25
06/05/2022,15.30
05/05/2022,16.10
04/05/2022,16.10
29/04/2022,16.60
28/04/2022,16.30
27/04/2022,17.05
26/04/2022,16.70
25/04/2022,16.45
22/04/2022,15.90
21/04/2022,15.25
20/04/2022,16.30
19/04/2022,16.30
18/04/2022,16.70
15/04/2022,17.75
14/04/2022,18.70
13/04/2022,19.20
12/04/2022,17.95
08/04/2022,19.30
07/04/2022,20.00
06/04/2022,20.80
05/04/2022,21.40
04/04/2022,21.20
01/04/2022,21.60
31/03/2022,20.70
30/03/2022,21.50
29/03/2022,23.00
28/03/2022,22.20
25/03/2022,23.10
24/03/2022,23.10
23/03/2022,22.90
22/03/2022,23.10
21/03/2022,23.80
18/03/2022,22.95
17/03/2022,23.40
16/03/2022,22.60
15/03/2022,22.20
14/03/2022,21.50
11/03/2022,21.65
10/03/2022,21.55
09/03/2022,21.30
08/03/2022,20.55
07/03/2022,21.95
04/03/2022,22.60
03/03/2022,22.65
02/03/2022,22.80
01/03/2022,22.40
28/02/2022,21.30
25/02/2022,21.15
24/02/2022,20.95
23/02/2022,20.95
22/02/2022,20.65
21/02/2022,22.05
18/02/2022,21.80
17/02/2022,21.20
16/02/2022,20.95
15/02/2022,19.60
14/02/2022,19.30
11/02/2022,19.45
10/02/2022,19.50
09/02/2022,19.40
08/02/2022,18.55
07/02/2022,19.00
28/01/2022,17.80
27/01/2022,16.80
26/01/2022,17.85
25/01/2022,19.15
24/01/2022,19.15
21/01/2022,20.55
20/01/2022,19.25
19/01/2022,17.80
18/01/2022,19.10
17/01/2022,20.50
14/01/2022,22.00
13/01/2022,22.70
12/01/2022,24.40
11/01/2022,26.20
10/01/2022,25.40
07/01/2022,24.40
06/01/2022,23.70
05/01/2022,22.15
04/01/2022,22.40
31/12/2021,21.35
30/12/2021,22.05
29/12/2021,22.65
28/12/2021,23.10
27/12/2021,22.10
24/12/2021,22.10
23/12/2021,22.00
22/12/2021,23.20
21/12/2021,22.75
20/12/2021,21.65
17/12/2021,21.50
16/12/2021,22.00
15/12/2021,20.75
14/12/2021,20.80
13/12/2021,20.55
10/12/2021,19.25
09/12/2021,19.15
08/12/2021,18.80
07/12/2021,19.25
06/12/2021,18.10
03/12/2021,19.45
02/12/2021,20.30
01/12/2021,20.70
30/11/2021,20.00
29/11/2021,19.25
26/11/2021,18.00
25/11/2021,18.25
24/11/2021,17.60
23/11/2021,18.05
22/11/2021,17.90
19/11/2021,19.20
18/11/2021,18.95
17/11/2021,18.00
16/11/2021,17.80
15/11/2021,18.60
12/11/2021,17.50
11/11/2021,17.40
10/11/2021,16.90
09/11/2021,15.80
08/11/2021,15.30
05/11/2021,14.95
04/11/2021,14.90
03/11/2021,14.65
02/11/2021,15.70
01/11/2021,14.70
29/10/2021,14.80
28/10/2021,14.45
27/10/2021,14.50
26/10/2021,14.20
25/10/2021,14.10
22/10/2021,14.20
21/10/2021,13.30
20/10/2021,13.00
19/10/2021,13.15
18/10/2021,13.20
15/10/2021,13.15
14/10/2021,13.15
13/10/2021,13.25
12/10/2021,12.70
11/10/2021,12.60
08/10/2021,12.70
07/10/2021,12.90
06/10/2021,12.70
05/10/2021,12.50
04/10/2021,12.00
01/10/2021,12.00
30/09/2021,12.45
29/09/2021,12.35
28/09/2021,12.35
27/09/2021,12.25
24/09/2021,13.15
23/09/2021,13.10
22/09/2021,13.30
21/09/2021,13.35
20/09/2021,12.50
17/09/2021,12.35
16/09/2021,11.55
15/09/2021,11.45
14/09/2021,11.50
13/09/2021,12.00
10/09/2021,11.55
09/09/2021,11.25
08/09/2021,11.30
07/09/2021,11.30
06/09/2021,11.75
01/09/2021,11.00
31/08/2021,10.95
30/08/2021,11.00
27/08/2021,10.55
26/08/2021,10.45
25/08/2021,10.45
24/08/2021,10.30
23/08/2021,10.05
20/08/2021,10.55
19/08/2021,11.15
18/08/2021,11.10
17/08/2021,11.05
16/08/2021,11.45
13/08/2021,11.30
12/08/2021,11.50
11/08/2021,11.00
10/08/2021,10.90
09/08/2021,11.05
06/08/2021,10.75
05/08/2021,10.65
04/08/2021,10.40
03/08/2021,10.35
02/08/2021,10.40
30/07/2021,10.30
29/07/2021,9.66
28/07/2021,9.60
27/07/2021,9.71
26/07/2021,9.85
23/07/2021,9.64
22/07/2021,9.64
21/07/2021,9.01
20/07/2021,8.70
19/07/2021,8.48
16/07/2021,9.11
15/07/2021,9.20
14/07/2021,9.05
13/07/2021,9.30
12/07/2021,8.79
09/07/2021,9.40
08/07/2021,10.10
07/07/2021,10.20
06/07/2021,10.50
05/07/2021,11.40
02/07/2021,11.90
01/07/2021,11.70
30/06/2021,11.90
29/06/2021,11.15
28/06/2021,11.05
25/06/2021,11.15
24/06/2021,10.75
23/06/2021,11.30
22/06/2021,11.25
21/06/2021,11.40
18/06/2021,11.55
17/06/2021,11.85
16/06/2021,11.40
15/06/2021,12.15
14/06/2021,11.50
11/06/2021,11.40
10/06/2021,11.40
09/06/2021,10.70
08/06/2021,11.10
07/06/2021,10.45
04/06/2021,9.81
03/06/2021,9.17
02/06/2021,9.04
01/06/2021,9.20
31/05/2021,9.02
28/05/2021,9.24
27/05/2021,9.11
26/05/2021,9.09
25/05/2021,8.93
24/05/2021,8.88
21/05/2021,8.30
20/05/2021,7.76
19/05/2021,7.75
18/05/2021,7.90
17/05/2021,8.10
14/05/2021,8.14
13/05/2021,8.20
12/05/2021,8.17
11/05/2021,8.03
10/05/2021,8.00
07/05/2021,8.09
06/05/2021,8.29
05/05/2021,8.34
04/05/2021,8.22
29/04/2021,8.30
28/04/2021,8.35
27/04/2021,8.31
26/04/2021,8.27
23/04/2021,8.45
22/04/2021,8.19
20/04/2021,8.80
19/04/2021,9.12
16/04/2021,9.00
15/04/2021,9.40
14/04/2021,9.60
13/04/2021,9.38
12/04/2021,9.67
09/04/2021,9.20
08/04/2021,8.81
07/04/2021,8.80
06/04/2021,8.88
05/04/2021,8.97
02/04/2021,8.96
01/04/2021,9.00
31/03/2021,8.61
30/03/2021,8.60
29/03/2021,8.64
26/03/2021,8.35
25/03/2021,8.70
24/03/2021,8.72
23/03/2021,8.81
22/03/2021,9.00
19/03/2021,9.05
18/03/2021,9.07
17/03/2021,9.09
16/03/2021,9.12
15/03/2021,9.31
12/03/2021,9.07
11/03/2021,9.11
10/03/2021,9.17
09/03/2021,9.02
08/03/2021,9.01
05/03/2021,9.01
04/03/2021,8.90
03/03/2021,8.89
02/03/2021,8.31
01/03/2021,8.30
26/02/2021,8.19
25/02/2021,8.19
24/02/2021,8.25
23/02/2021,8.45
22/02/2021,8.41
19/02/2021,8.51
18/02/2021,8.56
17/02/2021,8.60
09/02/2021,8.17
08/02/2021,7.80
05/02/2021,8.30
04/02/2021,7.93
03/02/2021,8.04
02/02/2021,7.59
01/02/2021,7.54
29/01/2021,8.10
28/01/2021,8.00
27/01/2021,8.60
26/01/2021,9.15
25/01/2021,9.30
22/01/2021,9.10
21/01/2021,8.88
20/01/2021,8.35
19/01/2021,8.84
18/01/2021,9.50
15/01/2021,9.56
14/01/2021,9.27
13/01/2021,9.30
12/01/2021,9.65
11/01/2021,9.78
08/01/2021,9.48
07/01/2021,9.29
06/01/2021,9.10
05/01/2021,9.10
04/01/2021,9.21
31/12/2020,9.11
30/12/2020,9.08
29/12/2020,9.36
28/12/2020,8.96
25/12/2020,8.42
24/12/2020,8.00
23/12/2020,7.92
22/12/2020,8.47
21/12/2020,8.17
18/12/2020,7.70
17/12/2020,7.72
16/12/2020,7.84
15/12/2020,7.43
14/12/2020,7.25
11/12/2020,7.07
10/12/2020,7.00
09/12/2020,7.10
08/12/2020,7.17
07/12/2020,7.25
04/12/2020,7.17
03/12/2020,7.15
02/12/2020,7.20
01/12/2020,7.25
30/11/2020,7.14
27/11/2020,7.07
26/11/2020,7.05
24/11/2020,7.00
23/11/2020,7.15
20/11/2020,7.06
19/11/2020,6.75
18/11/2020,6.73
17/11/2020,6.73
16/11/2020,6.72
13/11/2020,6.50
12/11/2020,6.45
11/11/2020,6.40
10/11/2020,6.23
09/11/2020,6.30
06/11/2020,6.25
05/11/2020,6.20
04/11/2020,6.20
03/11/2020,6.00
02/11/2020,5.94
30/10/2020,5.89
29/10/2020,5.86
28/10/2020,5.80
27/10/2020,6.10
26/10/2020,6.30
23/10/2020,6.35
22/10/2020,6.48
21/10/2020,6.48
20/10/2020,6.49
19/10/2020,6.31
16/10/2020,6.40
15/10/2020,6.57
14/10/2020,6.60
13/10/2020,6.70
12/10/2020,6.70
09/10/2020,6.81
08/10/2020,6.80
07/10/2020,6.79
06/10/2020,6.76
05/10/2020,6.75
02/10/2020,6.60
01/10/2020,6.60
30/09/2020,6.17
29/09/2020,6.15
28/09/2020,6.24
25/09/2020,6.20
24/09/2020,6.23
23/09/2020,6.31
22/09/2020,6.30
21/09/2020,6.35
18/09/2020,6.20
17/09/2020,6.28
16/09/2020,6.32
15/09/2020,6.30
14/09/2020,6.18
11/09/2020,5.78
10/09/2020,5.73
09/09/2020,5.73
08/09/2020,5.75
07/09/2020,5.70
04/09/2020,5.81
03/09/2020,5.79
01/09/2020,5.75
31/08/2020,5.80
28/08/2020,5.80
27/08/2020,5.76
26/08/2020,5.78
25/08/2020,5.82
24/08/2020,5.87
21/08/2020,5.70
20/08/2020,5.54
19/08/2020,5.60
18/08/2020,5.52
17/08/2020,5.58
14/08/2020,5.45
13/08/2020,5.60
12/08/2020,5.39
11/08/2020,5.39
10/08/2020,5.34
07/08/2020,5.15
06/08/2020,5.15
05/08/2020,5.12
04/08/2020,5.04
03/08/2020,4.80
31/07/2020,4.60
30/07/2020,4.72
29/07/2020,4.71
28/07/2020,5.04
27/07/2020,5.03
24/07/2020,5.40
23/07/2020,5.40
22/07/2020,5.45
21/07/2020,5.48
20/07/2020,5.55
17/07/2020,5.69
16/07/2020,5.69
15/07/2020,5.74
14/07/2020,5.78
13/07/2020,5.72
10/07/2020,5.77
09/07/2020,5.90
08/07/2020,5.63
07/07/2020,5.60
06/07/2020,5.78
03/07/2020,5.81
02/07/2020,5.88
01/07/2020,5.85
30/06/2020,5.78
29/06/2020,5.78
26/06/2020,6.21
25/06/2020,6.20
24/06/2020,6.17
23/06/2020,6.55
22/06/2020,6.64
19/06/2020,6.21
18/06/2020,5.81
17/06/2020,5.80
16/06/2020,5.85
15/06/2020,5.77
12/06/2020,6.20
11/06/2020,6.33
10/06/2020,6.45
09/06/2020,6.04
08/06/2020,5.67
05/06/2020,5.30
04/06/2020,4.96
03/06/2020,4.94
02/06/2020,4.87
01/06/2020,5.05
29/05/2020,4.85
28/05/2020,4.83
27/05/2020,4.72
26/05/2020,4.71
25/05/2020,4.59
22/05/2020,4.59
21/05/2020,4.61
20/05/2020,4.66
19/05/2020,4.70
18/05/2020,4.70
15/05/2020,4.68
14/05/2020,4.68
13/05/2020,4.63
12/05/2020,4.60
11/05/2020,4.56
08/05/2020,4.57
07/05/2020,4.55
06/05/2020,4.48
05/05/2020,4.42
04/05/2020,4.46
29/04/2020,4.50
28/04/2020,4.41
27/04/2020,4.38
24/04/2020,4.20
23/04/2020,4.20
22/04/2020,4.30
21/04/2020,4.25
20/04/2020,4.41
17/04/2020,4.23
16/04/2020,4.12
15/04/2020,4.12
14/04/2020,4.00
13/04/2020,4.09
10/04/2020,4.08
09/04/2020,4.20
08/04/2020,4.17
07/04/2020,4.10
06/04/2020,4.30
03/04/2020,4.06
01/04/2020,3.80
31/03/2020,3.59
30/03/2020,3.86
27/03/2020,4.14
26/03/2020,4.20
25/03/2020,4.25
24/03/2020,4.05
23/03/2020,3.83
20/03/2020,4.11
19/03/2020,4.25
18/03/2020,4.38
17/03/2020,4.10
16/03/2020,3.85
13/03/2020,3.98
12/03/2020,4.27
11/03/2020,4.59
10/03/2020,4.85
09/03/2020,4.92
06/03/2020,5.28
05/03/2020,5.13
04/03/2020,5.13
03/03/2020,4.93
02/03/2020,4.92
28/02/2020,5.00
27/02/2020,5.17
26/02/2020,5.16
25/02/2020,5.20
24/02/2020,5.20
21/02/2020,5.46
20/02/2020,5.51
19/02/2020,5.56
18/02/2020,5.59
17/02/2020,5.26
14/02/2020,5.21
13/02/2020,5.25
12/02/2020,5.25
11/02/2020,5.29
10/02/2020,5.16
07/02/2020,5.34
06/02/2020,5.41
05/02/2020,5.40
04/02/2020,5.30
03/02/2020,4.99
31/01/2020,5.06
30/01/2020,5.21
22/01/2020,5.30
21/01/2020,5.22
20/01/2020,5.20
17/01/2020,5.24
16/01/2020,5.30
15/01/2020,5.31
14/01/2020,5.30
13/01/2020,5.33
10/01/2020,5.51
09/01/2020,5.57
08/01/2020,5.48
07/01/2020,5.75
06/01/2020,5.80
03/01/2020,5.93
02/01/2020,5.92
