Date,Closing Price
10/05/2022,15.20
09/05/2022,14.75
06/05/2022,15.85
05/05/2022,16.30
04/05/2022,16.45
29/04/2022,16.80
28/04/2022,16.40
27/04/2022,16.30
26/04/2022,15.40
25/04/2022,14.85
22/04/2022,15.95
21/04/2022,15.95
20/04/2022,17.15
19/04/2022,18.40
18/04/2022,19.75
15/04/2022,21.20
14/04/2022,21.30
13/04/2022,21.80
12/04/2022,20.60
08/04/2022,22.10
07/04/2022,22.90
06/04/2022,23.20
05/04/2022,23.70
04/04/2022,23.20
01/04/2022,22.95
31/03/2022,22.65
30/03/2022,22.80
29/03/2022,23.85
28/03/2022,23.40
25/03/2022,24.75
24/03/2022,24.85
23/03/2022,24.05
22/03/2022,24.10
21/03/2022,24.30
18/03/2022,23.55
17/03/2022,23.60
16/03/2022,23.50
15/03/2022,23.50
14/03/2022,22.70
11/03/2022,23.20
10/03/2022,23.80
09/03/2022,23.65
08/03/2022,24.10
07/03/2022,24.70
04/03/2022,24.10
03/03/2022,23.55
02/03/2022,23.60
01/03/2022,24.05
28/02/2022,23.50
25/02/2022,24.10
24/02/2022,24.00
23/02/2022,24.80
22/02/2022,24.40
21/02/2022,25.10
18/02/2022,25.00
17/02/2022,26.15
16/02/2022,26.05
15/02/2022,25.60
14/02/2022,25.60
11/02/2022,26.55
10/02/2022,24.85
09/02/2022,24.30
08/02/2022,23.10
07/02/2022,22.90
28/01/2022,22.10
27/01/2022,21.90
26/01/2022,22.10
25/01/2022,23.30
24/01/2022,23.00
21/01/2022,24.70
20/01/2022,25.25
19/01/2022,23.20
18/01/2022,23.65
17/01/2022,25.40
14/01/2022,27.30
13/01/2022,28.50
12/01/2022,30.60
11/01/2022,31.65
10/01/2022,29.60
07/01/2022,28.70
06/01/2022,29.05
05/01/2022,29.00
04/01/2022,28.90
31/12/2021,28.00
30/12/2021,27.60
29/12/2021,27.50
28/12/2021,28.40
27/12/2021,29.40
24/12/2021,28.65
23/12/2021,30.70
22/12/2021,29.90
21/12/2021,27.95
20/12/2021,27.60
17/12/2021,28.75
16/12/2021,28.40
15/12/2021,26.85
14/12/2021,27.55
13/12/2021,26.90
10/12/2021,25.15
09/12/2021,25.10
08/12/2021,24.70
07/12/2021,24.70
06/12/2021,24.00
03/12/2021,25.80
02/12/2021,26.80
01/12/2021,27.65
30/11/2021,28.00
29/11/2021,27.20
26/11/2021,26.60
25/11/2021,27.00
24/11/2021,26.10
23/11/2021,26.20
22/11/2021,25.15
19/11/2021,27.00
18/11/2021,28.95
17/11/2021,28.80
16/11/2021,28.90
15/11/2021,30.30
12/11/2021,30.80
11/11/2021,31.15
10/11/2021,30.15
09/11/2021,29.10
08/11/2021,29.80
05/11/2021,29.20
04/11/2021,30.40
03/11/2021,31.05
02/11/2021,33.35
01/11/2021,31.20
29/10/2021,29.30
28/10/2021,28.50
27/10/2021,28.35
26/10/2021,26.50
25/10/2021,26.80
22/10/2021,26.75
21/10/2021,26.50
20/10/2021,25.20
19/10/2021,24.70
18/10/2021,23.10
15/10/2021,22.75
14/10/2021,22.50
13/10/2021,23.00
12/10/2021,22.25
11/10/2021,21.80
08/10/2021,21.80
07/10/2021,22.20
06/10/2021,21.85
05/10/2021,21.20
04/10/2021,21.00
01/10/2021,21.00
30/09/2021,21.50
29/09/2021,21.70
28/09/2021,21.20
27/09/2021,20.60
24/09/2021,21.90
23/09/2021,23.50
22/09/2021,22.75
21/09/2021,21.30
20/09/2021,21.30
17/09/2021,21.65
16/09/2021,21.20
15/09/2021,21.20
14/09/2021,20.60
13/09/2021,21.80
10/09/2021,22.60
09/09/2021,22.40
08/09/2021,22.40
07/09/2021,21.00
06/09/2021,22.45
01/09/2021,22.15
31/08/2021,21.30
30/08/2021,19.95
27/08/2021,19.50
26/08/2021,18.90
25/08/2021,19.00
24/08/2021,19.00
23/08/2021,19.30
20/08/2021,20.50
19/08/2021,21.45
18/08/2021,21.40
17/08/2021,20.95
16/08/2021,21.80
13/08/2021,21.60
12/08/2021,20.50
11/08/2021,19.80
10/08/2021,20.40
09/08/2021,20.20
06/08/2021,18.90
05/08/2021,18.30
04/08/2021,18.50
03/08/2021,17.90
02/08/2021,17.85
30/07/2021,17.50
29/07/2021,17.40
28/07/2021,17.40
27/07/2021,17.50
26/07/2021,17.65
23/07/2021,17.40
22/07/2021,17.70
21/07/2021,16.95
20/07/2021,16.95
19/07/2021,16.80
16/07/2021,17.30
15/07/2021,16.95
14/07/2021,17.10
13/07/2021,17.20
12/07/2021,17.20
09/07/2021,18.40
08/07/2021,18.55
07/07/2021,18.50
06/07/2021,19.00
05/07/2021,19.35
02/07/2021,19.40
01/07/2021,19.40
30/06/2021,19.50
29/06/2021,19.65
28/06/2021,19.80
25/06/2021,19.45
24/06/2021,19.45
23/06/2021,19.80
22/06/2021,20.15
21/06/2021,20.60
18/06/2021,21.50
17/06/2021,21.35
16/06/2021,21.30
15/06/2021,20.55
14/06/2021,20.35
11/06/2021,20.20
10/06/2021,20.10
09/06/2021,20.20
08/06/2021,19.60
07/06/2021,21.00
04/06/2021,20.70
03/06/2021,20.50
02/06/2021,20.05
01/06/2021,19.20
31/05/2021,18.30
28/05/2021,18.20
27/05/2021,18.25
26/05/2021,18.25
25/05/2021,18.90
24/05/2021,18.60
21/05/2021,17.40
20/05/2021,17.10
19/05/2021,17.15
18/05/2021,17.25
17/05/2021,17.25
14/05/2021,17.25
13/05/2021,17.30
12/05/2021,17.45
11/05/2021,17.20
10/05/2021,17.10
07/05/2021,17.40
06/05/2021,17.90
05/05/2021,17.40
04/05/2021,16.40
29/04/2021,16.75
28/04/2021,16.95
27/04/2021,17.10
26/04/2021,17.65
23/04/2021,18.25
22/04/2021,17.65
20/04/2021,18.95
19/04/2021,19.45
16/04/2021,19.95
15/04/2021,20.65
14/04/2021,20.90
13/04/2021,21.10
12/04/2021,21.55
09/04/2021,20.95
08/04/2021,21.00
07/04/2021,21.40
06/04/2021,20.70
05/04/2021,20.70
02/04/2021,21.20
01/04/2021,20.80
31/03/2021,20.70
30/03/2021,20.10
29/03/2021,20.95
26/03/2021,20.90
25/03/2021,21.70
24/03/2021,22.25
23/03/2021,22.80
22/03/2021,23.10
19/03/2021,23.00
18/03/2021,22.85
17/03/2021,23.10
16/03/2021,23.85
15/03/2021,23.70
12/03/2021,23.00
11/03/2021,23.10
10/03/2021,23.20
09/03/2021,23.65
08/03/2021,23.35
05/03/2021,22.50
04/03/2021,22.40
03/03/2021,23.15
02/03/2021,21.65
01/03/2021,20.25
26/02/2021,20.30
25/02/2021,19.90
24/02/2021,18.60
23/02/2021,17.40
22/02/2021,17.50
19/02/2021,17.55
18/02/2021,17.50
17/02/2021,17.35
09/02/2021,16.80
08/02/2021,16.10
05/02/2021,17.20
04/02/2021,16.35
03/02/2021,15.30
02/02/2021,14.30
01/02/2021,13.95
29/01/2021,15.00
28/01/2021,14.90
27/01/2021,16.00
26/01/2021,17.20
25/01/2021,17.90
22/01/2021,17.60
21/01/2021,17.60
20/01/2021,16.80
19/01/2021,17.40
18/01/2021,18.70
15/01/2021,19.30
14/01/2021,19.25
13/01/2021,18.90
12/01/2021,18.50
11/01/2021,17.65
08/01/2021,16.50
07/01/2021,16.45
06/01/2021,16.90
05/01/2021,16.65
04/01/2021,15.60
31/12/2020,15.35
30/12/2020,15.35
29/12/2020,15.20
28/12/2020,15.60
25/12/2020,14.95
24/12/2020,14.00
23/12/2020,13.80
22/12/2020,12.90
21/12/2020,12.10
18/12/2020,11.35
17/12/2020,11.30
16/12/2020,11.00
15/12/2020,10.30
14/12/2020,9.67
11/12/2020,9.61
10/12/2020,9.50
09/12/2020,9.66
08/12/2020,9.69
07/12/2020,9.50
04/12/2020,9.58
03/12/2020,9.63
02/12/2020,9.60
01/12/2020,9.64
30/11/2020,9.54
27/11/2020,9.26
26/11/2020,9.30
25/11/2020,9.46
24/11/2020,9.46
23/11/2020,9.18
20/11/2020,8.90
19/11/2020,9.10
18/11/2020,9.75
17/11/2020,9.70
16/11/2020,9.73
13/11/2020,9.75
12/11/2020,9.75
11/11/2020,9.63
10/11/2020,9.57
09/11/2020,9.63
06/11/2020,9.46
05/11/2020,9.52
04/11/2020,9.60
03/11/2020,9.66
02/11/2020,9.75
30/10/2020,9.83
29/10/2020,9.50
28/10/2020,9.33
27/10/2020,9.48
26/10/2020,9.45
23/10/2020,9.58
22/10/2020,9.70
21/10/2020,9.58
20/10/2020,8.96
19/10/2020,8.97
16/10/2020,8.94
15/10/2020,8.85
14/10/2020,8.95
13/10/2020,8.90
12/10/2020,8.92
09/10/2020,9.00
08/10/2020,9.00
07/10/2020,9.05
06/10/2020,9.00
05/10/2020,9.00
02/10/2020,9.00
01/10/2020,9.15
30/09/2020,9.07
29/09/2020,9.04
28/09/2020,9.14
25/09/2020,9.10
24/09/2020,9.08
23/09/2020,9.08
22/09/2020,9.14
21/09/2020,9.15
18/09/2020,9.17
17/09/2020,9.15
16/09/2020,9.15
15/09/2020,8.85
14/09/2020,8.83
11/09/2020,8.80
10/09/2020,8.75
09/09/2020,8.70
08/09/2020,8.66
07/09/2020,8.66
04/09/2020,8.66
03/09/2020,8.73
01/09/2020,8.79
31/08/2020,8.77
28/08/2020,8.74
27/08/2020,8.71
26/08/2020,8.61
25/08/2020,8.49
24/08/2020,8.49
21/08/2020,8.42
20/08/2020,8.50
19/08/2020,8.58
18/08/2020,8.56
17/08/2020,8.35
14/08/2020,8.21
13/08/2020,8.18
12/08/2020,8.16
11/08/2020,8.15
10/08/2020,8.16
07/08/2020,8.07
06/08/2020,8.15
05/08/2020,8.10
04/08/2020,8.08
03/08/2020,7.94
31/07/2020,7.88
30/07/2020,7.90
29/07/2020,7.80
28/07/2020,7.98
27/07/2020,7.60
24/07/2020,8.00
23/07/2020,8.07
22/07/2020,8.10
21/07/2020,7.72
20/07/2020,8.30
17/07/2020,8.41
16/07/2020,8.43
15/07/2020,8.25
14/07/2020,8.10
13/07/2020,8.05
10/07/2020,8.10
09/07/2020,8.13
08/07/2020,8.12
07/07/2020,8.13
06/07/2020,7.95
03/07/2020,8.00
02/07/2020,8.06
01/07/2020,8.09
30/06/2020,7.96
29/06/2020,7.95
26/06/2020,8.10
25/06/2020,8.05
24/06/2020,8.14
23/06/2020,8.20
22/06/2020,8.14
19/06/2020,8.19
18/06/2020,8.12
17/06/2020,8.01
16/06/2020,8.00
15/06/2020,7.91
12/06/2020,8.26
11/06/2020,8.30
10/06/2020,8.38
09/06/2020,8.32
08/06/2020,8.37
05/06/2020,8.30
04/06/2020,8.10
03/06/2020,8.05
02/06/2020,8.04
01/06/2020,8.06
29/05/2020,8.06
28/05/2020,8.07
27/05/2020,8.09
26/05/2020,8.09
25/05/2020,8.05
22/05/2020,7.91
21/05/2020,7.94
20/05/2020,7.92
19/05/2020,7.87
18/05/2020,7.80
15/05/2020,7.85
14/05/2020,7.95
13/05/2020,8.00
12/05/2020,7.75
11/05/2020,7.66
08/05/2020,7.54
07/05/2020,7.56
06/05/2020,7.55
05/05/2020,7.54
04/05/2020,7.56
29/04/2020,7.63
28/04/2020,7.65
27/04/2020,7.67
24/04/2020,7.68
23/04/2020,7.69
22/04/2020,7.50
21/04/2020,7.37
20/04/2020,7.60
17/04/2020,7.69
16/04/2020,7.20
15/04/2020,7.24
14/04/2020,7.21
13/04/2020,7.25
10/04/2020,7.10
09/04/2020,7.05
08/04/2020,7.05
07/04/2020,7.08
06/04/2020,7.06
03/04/2020,6.60
01/04/2020,6.40
31/03/2020,6.24
30/03/2020,6.21
27/03/2020,6.67
26/03/2020,6.70
25/03/2020,6.97
24/03/2020,6.80
23/03/2020,6.65
20/03/2020,7.14
19/03/2020,7.04
18/03/2020,7.20
17/03/2020,7.10
16/03/2020,7.35
13/03/2020,7.60
12/03/2020,7.32
11/03/2020,7.86
10/03/2020,7.99
09/03/2020,7.62
06/03/2020,8.15
05/03/2020,8.13
04/03/2020,8.08
03/03/2020,8.15
02/03/2020,8.05
28/02/2020,8.05
27/02/2020,8.14
26/02/2020,8.10
25/02/2020,8.10
24/02/2020,8.07
21/02/2020,8.25
20/02/2020,8.24
19/02/2020,8.18
18/02/2020,8.14
17/02/2020,8.15
14/02/2020,8.20
13/02/2020,8.25
12/02/2020,8.25
11/02/2020,8.16
10/02/2020,8.07
07/02/2020,8.05
06/02/2020,8.09
05/02/2020,8.09
04/02/2020,7.98
03/02/2020,7.98
31/01/2020,8.30
30/01/2020,8.34
22/01/2020,8.40
21/01/2020,8.35
20/01/2020,8.36
17/01/2020,8.40
16/01/2020,8.57
15/01/2020,8.59
14/01/2020,8.69
13/01/2020,8.65
10/01/2020,8.79
09/01/2020,8.60
08/01/2020,8.49
07/01/2020,8.62
06/01/2020,8.55
03/01/2020,8.42
02/01/2020,8.41
